log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1639652987.08	4177.52	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652988.18	4178.63	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652989.18	4179.63	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652990.29	4180.75	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652991.33	4181.77	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652992.37	4182.82	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652993.41	4183.86	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652994.44	4184.88	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652995.45	4185.91	-1038307	-207.00	-29.00	0	0.00	0.00	2	500000.00	100.00	14.21	-1	2	-999.00	-999.00	-999.00	-999.00
1639652996.55	4187.00	-1026862	-205.00	-29.00	42212341	8442.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639652997.59	4188.03	-1009793	-201.00	-28.00	42195272	8439.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639652998.63	4189.09	-992220	-198.00	-28.00	42177699	8435.00	1198.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639652999.69	4190.15	-974815	-194.00	-27.00	42160294	8432.00	1198.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653000.78	4191.22	-957067	-191.00	-27.00	42142546	8428.00	1197.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653001.89	4192.36	-938324	-187.00	-26.00	42123803	8424.00	1197.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653003.00	4193.43	-920575	-184.00	-26.00	42106054	8421.00	1196.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653004.04	4194.51	-902809	-180.00	-25.00	42088288	8417.00	1196.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653005.17	4195.63	-884268	-176.00	-25.00	42069747	8413.00	1195.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653006.24	4196.70	-866502	-173.00	-24.00	42051981	8410.00	1195.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653007.34	4197.82	-848054	-169.00	-24.00	42033533	8406.00	1194.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653008.41	4198.88	-830477	-166.00	-23.00	42015956	8403.00	1194.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653009.47	4199.94	-813072	-162.00	-23.00	41998551	8399.00	1193.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653010.50	4200.97	-795992	-159.00	-22.00	41981471	8396.00	1193.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653011.50	4201.97	-779410	-155.00	-22.00	41964889	8392.00	1192.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653012.62	4203.04	-761803	-152.00	-21.00	41947282	8389.00	1192.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653013.67	4204.15	-743385	-148.00	-21.00	41928864	8385.00	1191.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653014.72	4205.20	-726151	-145.00	-20.00	41911630	8382.00	1191.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653015.81	4206.29	-708043	-141.00	-20.00	41893522	8378.00	1190.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653016.89	4207.38	-690140	-138.00	-19.00	41875619	8375.00	1190.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653017.94	4208.42	-672889	-134.00	-19.00	41858368	8371.00	1189.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653019.05	4209.52	-654595	-130.00	-18.00	41840074	8368.00	1189.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653020.06	4210.54	-637859	-127.00	-18.00	41823338	8364.00	1188.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653021.07	4211.55	-621122	-124.00	-17.00	41806601	8361.00	1188.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653022.19	4212.66	-602910	-120.00	-17.00	41788389	8357.00	1187.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653023.27	4213.73	-585162	-117.00	-16.00	41770641	8354.00	1187.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653024.36	4214.79	-567555	-113.00	-16.00	41753034	8350.00	1186.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653025.46	4215.94	-548640	-109.00	-15.00	41734119	8346.00	1186.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653026.52	4217.00	-531046	-106.00	-15.00	41716525	8343.00	1185.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653027.61	4218.10	-515970	-103.00	-14.00	42223624	8444.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653028.62	4219.11	-499235	-99.00	-14.00	42206889	8441.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653029.67	4220.16	-481830	-96.00	-13.00	42189484	8437.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653030.77	4221.26	-463708	-92.00	-13.00	42171362	8434.00	1198.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653031.81	4222.31	-446285	-89.00	-12.00	42153939	8430.00	1198.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653032.88	4223.38	-428708	-85.00	-12.00	42136362	8427.00	1197.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653034.00	4224.47	-410634	-82.00	-11.00	42118288	8423.00	1197.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653035.12	4225.61	-391874	-78.00	-11.00	42099528	8419.00	1196.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653036.17	4226.61	-375278	-75.00	-10.00	42082932	8416.00	1195.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653037.28	4227.78	-355832	-71.00	-10.00	42063486	8412.00	1195.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653038.31	4228.81	-338924	-67.00	-9.00	42046578	8409.00	1194.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653039.35	4229.84	-321844	-64.00	-9.00	42029498	8405.00	1194.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653040.40	4230.90	-304439	-60.00	-8.00	42012093	8402.00	1193.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653041.41	4231.92	-287531	-57.00	-8.00	41995185	8399.00	1193.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653042.52	4233.02	-269254	-53.00	-7.00	41976908	8395.00	1192.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
