log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1765964869.68	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964869.59
1765964870.69	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964870.57
1765964871.73	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964871.63
1765964872.76	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964872.67
1765964873.79	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964873.70
1765964874.80	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964874.69
1765964875.85	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964875.77
1765964876.89	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964876.79
1765964877.90	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964877.82
1765964878.95	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964878.84
1765964879.95	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964879.86
1765964880.99	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964880.90
1765964882.08	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964882.00
1765964883.14	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964883.04
1765964884.20	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999	-999	50.00	-178.00	-0.18	1765964884.12
1765964885.21	0.50	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964884.97
1765964886.41	1.71	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964885.94
1765964887.53	2.83	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964887.25
1765964888.54	3.85	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964887.96
1765964889.69	4.99	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964889.06
1765964890.79	6.09	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964890.20
1765964891.91	7.17	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964891.45
1765964892.92	8.23	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964892.33
1765964894.00	9.31	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964893.59
1765964895.07	10.39	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	50.00	-178.00	-0.18	1765964894.47
1765964896.29	11.65	-99	0.00	0.00	239901	299.00	1199.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964896.05
1765964897.54	12.89	-1313	-1.00	-6.00	238687	298.00	1193.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964897.37
1765964898.55	13.90	-2304	-2.00	-11.00	237696	297.00	1188.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964898.41
1765964899.79	15.14	-3508	-4.00	-17.00	236492	295.00	1182.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964899.63
1765964900.84	16.19	-4537	-5.00	-22.00	235463	294.00	1177.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964900.41
1765964901.85	17.21	-5527	-6.00	-27.00	234473	293.00	1172.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964901.70
1765964902.87	18.23	-6527	-8.00	-32.00	233473	291.00	1167.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964902.68
1765964903.90	19.25	-7527	-9.00	-37.00	232473	290.00	1162.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964903.71
1765964904.92	20.28	-8527	-10.00	-42.00	231473	289.00	1157.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964904.74
1765964905.96	21.32	-9547	-11.00	-47.00	230453	288.00	1152.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964905.77
1765964906.96	22.32	-10517	-13.00	-52.00	229483	286.00	1147.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964906.56
1765964908.01	23.36	-11537	-14.00	-57.00	228463	285.00	1142.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964907.85
1765964909.03	24.39	-12536	-15.00	-62.00	227464	284.00	1137.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964908.85
1765964910.11	25.47	-13595	-16.00	-67.00	226405	283.00	1132.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964909.91
1765964911.12	26.48	-14585	-18.00	-72.00	225415	281.00	1127.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964910.97
1765964912.17	27.54	-15614	-19.00	-78.00	224386	280.00	1121.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964912.01
1765964913.18	28.54	-16595	-20.00	-82.00	223405	279.00	1117.00	1000	1000.00	1.25	5.00	-1	4	50.00	-178.00	-0.18	1765964912.96
