log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1774008138.07	3.20	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	-999.00	-999.00	-999.00	-999.00
1774008139.37	4.34	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	-999.00	-999.00	-999.00	-999.00
1774008140.56	5.65	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	-999.00	-999.00	-999.00	-999.00
1774008141.69	6.81	-10	0.00	0.00	239990	299.00	1199.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008142.73	7.84	-1019	-1.00	-5.00	238981	298.00	1194.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008143.79	8.90	-2059	-2.00	-10.00	237941	297.00	1189.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008144.93	10.03	-3154	-3.00	-15.00	236846	296.00	1184.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008146.04	11.11	-4214	-5.00	-21.00	235786	294.00	1178.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008147.18	12.29	-5358	-6.00	-26.00	234642	293.00	1173.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008148.30	13.40	-6445	-8.00	-32.00	233555	291.00	1167.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008149.42	14.52	-7534	-9.00	-37.00	232466	290.00	1162.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008150.49	15.56	-8552	-10.00	-42.00	231448	289.00	1157.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008151.62	16.70	-9669	-12.00	-48.00	230331	287.00	1151.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008152.68	17.78	-10717	-13.00	-53.00	229283	286.00	1146.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008153.75	18.87	-11785	-14.00	-58.00	228215	285.00	1141.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008154.79	19.92	-12805	-16.00	-64.00	227195	283.00	1135.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008155.92	21.03	-13891	-17.00	-69.00	226109	282.00	1130.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008157.06	22.17	-14997	-18.00	-74.00	225003	281.00	1125.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008158.14	23.23	-16036	-20.00	-80.00	223964	279.00	1119.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008159.28	24.38	-17152	-21.00	-85.00	222848	278.00	1114.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008160.40	25.47	-18222	-22.00	-91.00	221778	277.00	1108.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008161.58	26.68	-19408	-24.00	-97.00	220592	275.00	1102.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008162.75	27.85	-20546	-25.00	-102.00	219454	274.00	1097.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008163.95	28.99	-21662	-27.00	-108.00	218338	272.00	1091.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008165.06	30.19	-22829	-28.00	-114.00	217171	271.00	1085.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008166.17	31.26	-23878	-29.00	-119.00	216122	270.00	1080.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1774008167.28	32.38	-23517	-29.00	-117.00	239393	299.00	1196.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008168.41	33.53	-22390	-27.00	-111.00	238266	297.00	1191.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008169.45	34.59	-21350	-26.00	-106.00	237226	296.00	1186.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008170.58	35.71	-20262	-25.00	-101.00	236138	295.00	1180.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008171.69	36.80	-19194	-23.00	-95.00	235070	293.00	1175.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008172.86	37.98	-18048	-22.00	-90.00	233924	292.00	1169.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008174.00	39.13	-16922	-21.00	-84.00	232798	290.00	1163.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008175.12	40.24	-15845	-19.00	-79.00	231721	289.00	1158.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008176.25	41.38	-14726	-18.00	-73.00	230602	288.00	1153.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008177.36	42.47	-13669	-17.00	-68.00	229545	286.00	1147.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008178.47	43.59	-12572	-15.00	-62.00	228448	285.00	1142.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008179.67	44.77	-11415	-14.00	-57.00	227291	284.00	1136.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008180.75	45.88	-10338	-12.00	-51.00	226214	282.00	1131.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008181.83	46.97	-9269	-11.00	-46.00	225145	281.00	1125.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008182.97	48.13	-8144	-10.00	-40.00	224020	280.00	1120.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
1774008184.13	49.28	-7019	-8.00	-35.00	222895	278.00	1114.00	1000	1000.00	1.25	5.00	1	4	-999.00	-999.00	-999.00	-999.00
