log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1639653237.69	4428.39	1255454	251.00	35.00	40968332	8193.00	1164.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653238.73	4429.43	1272700	254.00	36.00	40951086	8190.00	1163.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653239.82	4430.52	1287872	257.00	36.00	42215172	8443.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653240.90	4431.60	1305786	261.00	37.00	42197258	8439.00	1199.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653242.05	4432.72	1324199	264.00	37.00	42178845	8435.00	1198.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653243.07	4433.78	1341819	268.00	38.00	42161225	8432.00	1198.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653244.11	4434.81	1358893	271.00	38.00	42144151	8428.00	1197.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653245.19	4435.88	1376465	275.00	39.00	42126579	8425.00	1197.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653246.26	4436.97	1394535	278.00	39.00	42108509	8421.00	1196.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653247.29	4438.00	1411469	282.00	40.00	42091575	8418.00	1196.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653248.40	4439.11	1429912	285.00	40.00	42073132	8414.00	1195.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653249.49	4440.19	1447810	289.00	41.00	42055234	8411.00	1195.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653250.59	4441.29	1465913	293.00	41.00	42037131	8407.00	1194.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
1639653251.69	4442.37	1483811	296.00	42.00	42019233	8403.00	1194.00	2	500000.00	100.00	14.21	1	4	-999.00	-999.00	-999.00	-999.00
