log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1769693505.66	7.58	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	-999.00	-999.00	-999.00	-999.00
1769693506.77	8.69	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	-999.00	-999.00	-999.00	-999.00
1769693507.86	9.79	0	0.00	0.00	0	0.00	0.00	1000	1000.00	1.25	5.00	1	0	-999.00	-999.00	-999.00	-999.00
1769693508.99	10.90	-10	0.00	0.00	239990	299.00	1199.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693510.04	11.96	-1038	-1.00	-5.00	238962	298.00	1194.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693511.07	12.99	-2044	-2.00	-10.00	237956	297.00	1189.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693512.13	14.04	-3070	-3.00	-15.00	236930	296.00	1184.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693513.16	15.08	-4077	-5.00	-20.00	235923	294.00	1179.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693514.19	16.11	-5086	-6.00	-25.00	234914	293.00	1174.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693515.25	17.17	-6114	-7.00	-30.00	233886	292.00	1169.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693516.28	18.20	-7121	-8.00	-35.00	232879	291.00	1164.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693517.29	19.21	-8108	-10.00	-40.00	231892	289.00	1159.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693518.34	20.26	-9126	-11.00	-45.00	230874	288.00	1154.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693519.36	21.29	-10133	-12.00	-50.00	229867	287.00	1149.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693520.39	22.32	-11129	-13.00	-55.00	228871	286.00	1144.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693521.44	23.36	-12146	-15.00	-60.00	227854	284.00	1139.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693522.47	24.41	-13165	-16.00	-65.00	226835	283.00	1134.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693523.51	25.44	-14173	-17.00	-70.00	225827	282.00	1129.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693524.53	26.46	-15171	-18.00	-75.00	224829	281.00	1124.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693525.56	27.50	-16176	-20.00	-80.00	223824	279.00	1119.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693526.56	28.50	-17153	-21.00	-85.00	222847	278.00	1114.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693527.59	29.53	-18150	-22.00	-90.00	221850	277.00	1109.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693528.60	30.54	-19137	-23.00	-95.00	220863	276.00	1104.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693529.61	31.55	-20122	-25.00	-100.00	219878	274.00	1099.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
1769693530.62	32.57	-21106	-26.00	-105.00	218894	273.00	1094.00	1000	1000.00	1.25	5.00	-1	4	-999.00	-999.00	-999.00	-999.00
