log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1637077085.88	17.67	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1637077086.98	18.77	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1637077088.08	19.87	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1637077089.13	20.90	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1637077090.18	21.96	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1637077091.23	23.01	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1637077092.26	24.04	-713	0.00	0.00	42223073	8444.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077093.31	25.10	-1735	0.00	0.00	42222051	8444.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077094.35	26.13	-2740	0.00	0.00	42221046	8444.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077095.40	27.20	-3775	0.00	0.00	42220011	8444.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077096.46	28.24	-4791	0.00	0.00	42218995	8443.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077097.55	29.32	-5844	-1.00	0.00	42217942	8443.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077098.61	30.40	-6887	-1.00	0.00	42216899	8443.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077099.68	31.47	-7933	-1.00	0.00	42215853	8443.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077100.75	32.55	-8979	-1.00	0.00	42214807	8442.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077101.83	33.63	-10032	-2.00	0.00	42213754	8442.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077102.91	34.70	-11064	-2.00	0.00	42212722	8442.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077103.98	35.78	-12116	-2.00	0.00	42211670	8442.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077105.03	36.80	-13111	-2.00	0.00	42210675	8442.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077106.12	37.91	-14185	-2.00	0.00	42209601	8441.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077107.22	39.01	-15259	-3.00	0.00	42208527	8441.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077108.28	40.09	-16302	-3.00	0.00	42207484	8441.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077109.37	41.16	-17346	-3.00	0.00	42206440	8441.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077110.49	42.27	-18429	-3.00	0.00	42205357	8441.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077111.52	43.32	-19444	-3.00	0.00	42204342	8440.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077112.63	44.43	-20528	-4.00	0.00	42203258	8440.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077113.77	45.56	-21620	-4.00	0.00	42202166	8440.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077114.87	46.67	-22703	-4.00	0.00	42201083	8440.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077115.93	47.74	-23734	-4.00	0.00	42200052	8440.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077116.97	48.79	-24759	-4.00	0.00	42199027	8439.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077118.01	49.81	-25751	-5.00	0.00	42198035	8439.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077119.15	50.95	-26854	-5.00	0.00	42196932	8439.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077120.19	52.00	-27879	-5.00	0.00	42195907	8439.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077121.21	53.02	-28863	-5.00	0.00	42194923	8438.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077122.23	54.05	-29866	-5.00	0.00	42193920	8438.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077123.32	55.15	-30929	-6.00	0.00	42192857	8438.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077124.43	56.24	-31993	-6.00	0.00	42191793	8438.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077125.52	57.33	-33057	-6.00	0.00	42190729	8438.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077126.62	58.42	-34110	-6.00	0.00	42189676	8437.00	1199.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077127.73	59.54	-35203	-7.00	-1.00	42188583	8437.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077128.76	60.59	-36216	-7.00	-1.00	42187570	8437.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077129.88	61.70	-37300	-7.00	-1.00	42186486	8437.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077130.96	62.78	-38354	-7.00	-1.00	42185432	8437.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077132.05	63.87	-39408	-7.00	-1.00	42184378	8436.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077133.18	65.00	-40509	-8.00	-1.00	42183277	8436.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077134.20	66.03	-41505	-8.00	-1.00	42182281	8436.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077135.29	67.11	-42558	-8.00	-1.00	42181228	8436.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077136.35	68.19	-43598	-8.00	-1.00	42180188	8436.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077137.46	69.29	-44672	-8.00	-1.00	42179114	8435.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077138.55	70.38	-45725	-9.00	-1.00	42178061	8435.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077139.62	71.45	-46767	-9.00	-1.00	42177019	8435.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077140.69	72.52	-47810	-9.00	-1.00	42175976	8435.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077141.76	73.59	-48844	-9.00	-1.00	42174942	8434.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077142.87	74.70	-49927	-9.00	-1.00	42173859	8434.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077143.98	75.81	-51001	-10.00	-1.00	42172785	8434.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077145.08	76.92	-52083	-10.00	-1.00	42171703	8434.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077146.16	78.00	-53125	-10.00	-1.00	42170661	8434.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077147.26	79.10	-54201	-10.00	-1.00	42169585	8433.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077148.33	80.17	-55243	-11.00	-1.00	42168543	8433.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077149.40	81.24	-56277	-11.00	-1.00	42167509	8433.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077150.48	82.32	-57333	-11.00	-1.00	42166453	8433.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077151.57	83.42	-58394	-11.00	-1.00	42165392	8433.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077152.60	84.45	-59396	-11.00	-1.00	42164390	8432.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077153.65	85.47	-60389	-12.00	-1.00	42163397	8432.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077154.71	86.56	-61442	-12.00	-1.00	42162344	8432.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077155.77	87.62	-62473	-12.00	-1.00	42161313	8432.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077156.85	88.70	-63516	-12.00	-1.00	42160270	8432.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077157.93	89.77	-64559	-12.00	-1.00	42159227	8431.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077158.98	90.83	-65595	-13.00	-1.00	42158191	8431.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077160.05	91.91	-66638	-13.00	-1.00	42157148	8431.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077161.14	92.98	-67681	-13.00	-1.00	42156105	8431.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077162.19	94.05	-68716	-13.00	-1.00	42155070	8431.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077163.20	95.06	-69699	-13.00	-1.00	42154087	8430.00	1198.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
1637077164.26	96.10	-70702	-14.00	-2.00	42153084	8430.00	1197.00	1000	1000.00	0.20	0.03	-1	4	-999.00	-999.00	-999.00	-999.00
